,Unnamed: 0,track_id,track_name,artist_name,acousticness,energy,danceability,duration_ms,liveness,tempo,valence,release_date
3191,3208,13XHuE00ElL5thSxkaEXxK,Only God Can Judge Me,2Pac,0.0012,0.784,0.8029999999999999,296907,0.0794,90.185,0.8009999999999999,1996-02-13
3192,3209,0c6DDLA4rsGGNXWZM5oZdS,Doubt It,KYLE,0.487,0.773,0.718,218371,0.0926,74.857,0.764,2016-08-19
3193,3210,5mJbSgVBnJ4ayOjFdmyOdl,City Of Stars,Logic,0.119,0.873,0.464,376640,0.225,90.137,0.607,2015-11-13
3194,3211,5lJAZ8IMBzfeWcV3PjCMMO,Leather in The Rain (feat. Kyndall),Tyga,0.0794,0.5329999999999999,0.809,213798,0.113,128.013,0.282,2018-02-16
3195,3212,4uX7M3U4I1nsZ7SFM4XNCn,Kings Never Die,Eminem,0.0275,0.8959999999999999,0.7709999999999999,296133,0.204,112.505,0.0593,2015-07-24
3196,3213,0LWlhQwduzn48itDPT2yY8,Swingtheory,"quickly, quickly",0.5820000000000001,0.5760000000000001,0.484,228571,0.306,78.303,0.317,2018-08-03
3197,3214,2TdZdeKIDMqi1B3139W4Wb,Half & Half,Playboi Carti,0.136,0.496,0.899,227044,0.139,127.046,0.145,2017-04-14
3198,3215,3nn7OPFCwHblA3BUIip8gd,Missed Calls (feat. Lil Peep),Mackned,0.265,0.626,0.72,150359,0.327,115.023,0.302,2016-12-03
3199,3216,20BSdaBpIUvUv6PUvqJN8l,Dope Game,Baka Not Nice,0.0423,0.539,0.84,219429,0.124,140.016,0.07,2018-08-03
3200,3217,5Gx2SIkIWdSzdxnvfO3TJy,Heartless (feat. Rick Ross & Bigga Rankin),YFN Lucci,0.0821,0.72,0.6859999999999999,216002,0.414,146.026,0.326,2017-03-03
3201,3218,6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,Drake,0.379,0.227,0.76,153725,0.355,96.912,0.279,2017-03-18
3202,3219,6OQea06z3cbOqYgG2O6eOZ,Killing Spree,Logic,0.0304,0.758,0.856,206613,0.105,124.073,0.18,2017-05-05
3203,3220,2L8cFPItBljPNJgPjTnuIf,No Flex Zone,Rae Sremmurd,0.00412,0.519,0.925,231067,0.0971,120.08,0.247,2015-01-06
3204,3221,7wBThXx7BGZHJJ3aN3OPvv,Confessions Part II - Confessions Special Edition Version,Usher,0.0586,0.467,0.845,211200,0.0694,138.007,0.7020000000000001,2004-03-23
3205,3222,4zLOwx1yRJXWkHKt1XzF1p,Now & Forever,Drake,0.132,0.515,0.575,281320,0.102,107.945,0.0946,2015-02-12
3206,3223,2gq9iG0maBxkuZI7yfGJuv,Overtime,Bryson Tiller,0.254,0.4970000000000001,0.657,218253,0.3670000000000001,106.049,0.594,2015-10-02
